date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:22	32467/32467	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:15%20GMT	https://preview.colorlib.com/theme/academia/index.html	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/index.html	(from )
15:25:23	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
15:25:24	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/840%20G4/Documents/Blog/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:24	46591/46591	---M-Z	200	added ('OK')	text/css	etag:%225eb03eae-b5ff%22	https://cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	C:/Users/840%20G4/Documents/Blog/cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:24	53553/53553	---MCZ	200	added ('OK')	text/css	etag:W/%22d131-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/animate.css	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/css/animate.css	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:24	1989/1989	---MCZ	200	added ('OK')	text/css	etag:W/%227c5-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/flaticon.css	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/css/flaticon.css	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:25	2178/2178	---MCZ	200	added ('OK')	text/css	etag:W/%22882-5c21cf2163a6d-gzip%22	https://preview.colorlib.com/theme/academia/css/tiny-slider.css	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/css/tiny-slider.css	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:25	8815/8815	---MCZ	200	added ('OK')	text/css	etag:W/%22226f-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/glightbox.min.css	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/css/glightbox.min.css	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:25	5860/5860	---MCZ	200	added ('OK')	text/css	etag:W/%2216e4-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/aos.css	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/css/aos.css	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:26	82340/82340	---MCZ	200	added ('OK')	text/css	etag:W/%22141a4-5c1f9a29053f4-gzip%22	https://preview.colorlib.com/theme/academia/css/style.css	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/css/style.css	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:26	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2005%20Dec%202022%2014:25:21%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:26	25642/25642	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:17%20GMT	https://preview.colorlib.com/theme/academia/courses.html	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/courses.html	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:26	18733/18733	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:16%20GMT	https://preview.colorlib.com/theme/academia/about.html	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/about.html	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:27	18446/18446	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:14%20GMT	https://preview.colorlib.com/theme/academia/team.html	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/team.html	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:27	16808/16808	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:17%20GMT	https://preview.colorlib.com/theme/academia/pricing.html	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/pricing.html	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:28	16500/16500	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:14%20GMT	https://preview.colorlib.com/theme/academia/blog.html	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/blog.html	(from https://preview.colorlib.com/theme/academia/index.html)
15:25:28	14159/14159	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:16%20GMT	https://preview.colorlib.com/theme/academia/contact.html	C:/Users/840%20G4/Documents/Blog/preview.colorlib.com/theme/academia/contact.html	(from https://preview.colorlib.com/theme/academia/index.html)
